t/R,nxe,NDOF,elem_type,lin_disp,nl_disp,lin_runtime(s),nl_runtime(s)
2.000000000000000e-01,128,396294,AIG9,0.000000000000000e+00,0.000000000000000e+00,3.653856421000000e+00,0.000000000000000e+00,direct
2.000000000000000e-01,128,396294,AIG9,0.000000000000000e+00,0.000000000000000e+00,3.558097048000000e+00,0.000000000000000e+00,direct
2.000000000000000e-01,128,396294,AIG9,0.000000000000000e+00,0.000000000000000e+00,3.557910784000000e+00,0.000000000000000e+00,direct
2.000000000000000e-01,128,396294,AIG9,0.000000000000000e+00,0.000000000000000e+00,3.521336430000000e+00,0.000000000000000e+00,direct
2.000000000000000e-01,4,486,AIG9,0.000000000000000e+00,0.000000000000000e+00,1.247164000000000e-02,0.000000000000000e+00,direct
2.000000000000000e-01,2,150,AIG9,0.000000000000000e+00,0.000000000000000e+00,1.096102400000000e-02,0.000000000000000e+00,direct
2.000000000000000e-01,2,150,AIG9,0.000000000000000e+00,0.000000000000000e+00,1.077223500000000e-02,0.000000000000000e+00,direct
2.000000000000000e-01,128,396294,AIG9,0.000000000000000e+00,0.000000000000000e+00,3.598569457000000e+00,0.000000000000000e+00,direct
2.000000000000000e-01,1,54,AIG9,0.000000000000000e+00,0.000000000000000e+00,9.797574000000000e-03,0.000000000000000e+00,direct
1.000000000000000e-02,1,54,AIG9,0.000000000000000e+00,0.000000000000000e+00,9.845848000000001e-03,0.000000000000000e+00,direct
1.000000000000000e-02,128,396294,AIG9,0.000000000000000e+00,0.000000000000000e+00,4.451390131000000e+00,0.000000000000000e+00,direct
1.000000000000000e-02,1,54,AIG9,0.000000000000000e+00,0.000000000000000e+00,1.010197800000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,1,54,AIG9,0.000000000000000e+00,0.000000000000000e+00,1.048865900000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,1,54,AIG9,0.000000000000000e+00,0.000000000000000e+00,1.033267900000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,1,54,AIG9,0.000000000000000e+00,0.000000000000000e+00,1.040588100000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,1,54,AIG9,0.000000000000000e+00,0.000000000000000e+00,1.014515300000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,1,54,AIG9,0.000000000000000e+00,0.000000000000000e+00,1.010457800000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,1,54,AIG9,0.000000000000000e+00,0.000000000000000e+00,1.043697400000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,1,54,AIG9,0.000000000000000e+00,0.000000000000000e+00,1.007284900000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,1,54,AIG9,0.000000000000000e+00,0.000000000000000e+00,1.163859600000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,1,54,AIG9,0.000000000000000e+00,0.000000000000000e+00,1.079237000000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,1,54,AIG9,0.000000000000000e+00,0.000000000000000e+00,1.173337800000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,1,54,AIG9,0.000000000000000e+00,0.000000000000000e+00,1.030129200000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,1,54,AIG9,0.000000000000000e+00,0.000000000000000e+00,1.044517500000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,1,54,AIG9,0.000000000000000e+00,0.000000000000000e+00,1.025355400000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,1,54,AIG9,3.991143506493362e+01,0.000000000000000e+00,1.087284200000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,128,101400,AIG9,2.110357263973031e+04,0.000000000000000e+00,3.094315347000000e+00,0.000000000000000e+00,direct
1.000000000000000e-02,1,54,AIG9,3.991143506493362e+01,0.000000000000000e+00,1.662765500000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,1,54,AIG9,3.991143506493362e+01,0.000000000000000e+00,1.284915400000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,128,101400,AIG9,2.110357263983854e+04,0.000000000000000e+00,2.814587284000000e+00,0.000000000000000e+00,direct
