t/R,nxe,NDOF,solver,pc_complexity,lin_runtime(s)
1.000000000000000e+00,128,99072,LU,1.587803030303030e+01,6.364977000000001e-01
1.000000000000000e+00,128,99072,ILU0,2.000000000000000e+00,5.285064840000000e-01
1.000000000000000e+00,128,99072,ILU1,3.707386363636364e+00,2.709286570000000e-01
1.000000000000000e+00,128,99072,ILU2,5.643181818181819e+00,2.006335210000000e-01
1.000000000000000e+00,128,99072,DJ,1.223376623376623e+00,1.453776550000000e-01
1.000000000000000e+00,128,99072,GSMC,1.223376623376623e+00,3.029961470000000e-01
1.000000000000000e+00,128,99072,CP,1.223376623376623e+00,1.231398920000000e-01
1.000000000000000e+00,128,99072,ASW,2.773160173160173e+00,1.459359680000000e-01
3.333333333333333e-01,128,99072,LU,1.587803030303030e+01,6.333883090000000e-01
3.333333333333333e-01,128,99072,ILU0,2.000000000000000e+00,5.289024520000000e-01
3.333333333333333e-01,128,99072,ILU1,3.705844155844156e+00,3.041613750000000e-01
3.333333333333333e-01,128,99072,ILU2,5.657494588744589e+00,2.195873500000000e-01
3.333333333333333e-01,128,99072,DJ,1.223376623376623e+00,1.497831600000000e-01
3.333333333333333e-01,128,99072,GSMC,1.223376623376623e+00,3.083466480000000e-01
3.333333333333333e-01,128,99072,CP,1.223376623376623e+00,1.233745730000000e-01
3.333333333333333e-01,128,99072,ASW,2.773160173160173e+00,1.484509340000000e-01
1.000000000000000e-01,128,99072,LU,1.587803030303030e+01,6.324645150000000e-01
1.000000000000000e-01,128,99072,ILU0,2.000000000000000e+00,8.556911109999999e-01
1.000000000000000e-01,128,99072,ILU1,3.707115800865801e+00,4.201700660000000e-01
1.000000000000000e-01,128,99072,ILU2,5.665097402597403e+00,3.075120550000000e-01
1.000000000000000e-01,128,99072,DJ,1.223376623376623e+00,1.800739170000000e-01
1.000000000000000e-01,128,99072,GSMC,1.223376623376623e+00,3.776116680000000e-01
1.000000000000000e-01,128,99072,CP,1.223376623376623e+00,1.523485710000000e-01
1.000000000000000e-01,128,99072,ASW,2.773160173160173e+00,1.719961110000000e-01
3.333333333333333e-02,128,99072,LU,1.587803030303030e+01,6.341418480000000e-01
3.333333333333333e-02,128,99072,ILU0,2.000000000000000e+00,1.920088716000000e+00
3.333333333333333e-02,128,99072,ILU1,3.708739177489178e+00,9.107728070000000e-01
3.333333333333333e-02,128,99072,ILU2,5.667532467532467e+00,5.844332680000000e-01
3.333333333333333e-02,128,99072,DJ,1.223376623376623e+00,2.680601290000000e-01
3.333333333333333e-02,128,99072,GSMC,1.223376623376623e+00,5.534469180000000e-01
3.333333333333333e-02,128,99072,CP,1.223376623376623e+00,2.276203420000000e-01
3.333333333333333e-02,128,99072,ASW,2.773160173160173e+00,2.483918520000000e-01
1.000000000000000e-02,128,99072,LU,1.587803030303030e+01,6.144866570000000e-01
1.000000000000000e-02,128,99072,ILU1,3.705167748917749e+00,1.361016649000000e+00
1.000000000000000e-02,128,99072,ILU2,5.652678571428571e+00,7.548813640000001e-01
1.000000000000000e-02,128,99072,DJ,1.223376623376623e+00,6.002352090000000e-01
1.000000000000000e-02,128,99072,GSMC,1.223376623376623e+00,1.188699442000000e+00
1.000000000000000e-02,128,99072,CP,1.223376623376623e+00,4.923780430000000e-01
1.000000000000000e-02,128,99072,ASW,2.773160173160173e+00,4.797707540000000e-01
3.333333333333334e-03,128,99072,LU,1.587803030303030e+01,6.163102890000000e-01
3.333333333333334e-03,128,99072,GSMC,1.223376623376623e+00,2.083737631000000e+00
3.333333333333334e-03,128,99072,CP,1.223376623376623e+00,8.444450019999999e-01
3.333333333333334e-03,128,99072,ASW,2.773160173160173e+00,5.882064290000000e-01
1.000000000000000e-03,128,99072,LU,1.587803030303030e+01,6.036928459999999e-01
1.000000000000000e-03,128,99072,CP,1.223376623376623e+00,1.117640255000000e+00
1.000000000000000e-03,128,99072,ASW,2.773160173160173e+00,3.840849160000000e-01
1.000000000000000e-01,32,6336,LU,9.719931271477662e+00,3.748054800000000e-02
1.000000000000000e-01,32,6336,ILU0,2.000000000000000e+00,7.172304300000000e-02
1.000000000000000e-01,32,6336,ILU1,3.673969072164948e+00,3.988331300000000e-02
1.000000000000000e-01,32,6336,ILU2,5.497422680412371e+00,3.408794600000000e-02
1.000000000000000e-01,32,6336,DJ,1.226804123711340e+00,1.300189800000000e-02
1.000000000000000e-01,32,6336,GSMC,1.226804123711340e+00,2.715621800000000e-02
1.000000000000000e-01,32,6336,CP,1.226804123711340e+00,8.088398000000000e-03
1.000000000000000e-01,32,6336,ASW,2.759450171821306e+00,3.066041800000000e-02
1.000000000000000e-02,32,6336,LU,9.719931271477662e+00,4.135795700000000e-02
1.000000000000000e-02,32,6336,ILU0,2.000000000000000e+00,2.677050320000000e-01
1.000000000000000e-02,32,6336,ILU1,3.674828178694158e+00,2.144804860000000e-01
1.000000000000000e-02,32,6336,ILU2,5.590206185567010e+00,6.177559700000000e-02
